Week,Day,BackupStart,WFID,FileType,Size
0,1,0,0,0,0.0
0,1,0,2,4,0.0
0,1,0,2,5,0.0
0,1,0,2,6,0.0
0,1,0,2,8,0.0
0,1,0,2,9,0.0
0,1,0,3,10,0.0
0,1,0,3,11,0.0
0,1,0,3,13,0.0
0,1,0,3,14,0.0
0,1,0,3,15,0.0
0,1,0,3,16,0.0
0,1,0,0,1,0.020160491484
0,1,0,0,12,0.0191160116245
0,1,0,0,23,0.0193788085691
0,1,0,0,24,0.018992364205
0,1,0,0,25,0.0204832088339
0,1,0,1,26,0.0409712155718
0,1,0,1,27,0.0392348765815
0,1,0,1,28,0.0408134263223
0,1,0,1,29,0.0423456069899
0,1,0,1,2,0.0377038808086
0,1,0,1,3,0.0409169678849
0,1,0,2,7,0.00215992133447
0,1,0,4,17,0.0184086851003
0,1,0,4,18,0.020608348973
0,1,0,4,19,0.0207793034553
0,1,0,4,20,0.0200150802097
0,1,0,4,21,0.0214587750649
0,1,0,4,22,0.019935554214
0,1,1,2,4,0.0
0,1,1,2,5,0.0
0,1,1,2,6,0.0
0,1,1,2,8,0.0
0,1,1,2,9,0.0
0,1,1,3,10,0.0
0,1,1,3,11,0.0
0,1,1,3,13,0.0
0,1,1,3,14,0.0
0,1,1,3,15,0.0
0,1,1,3,16,0.0
0,1,1,2,7,0.0
0,1,1,0,0,0.0807320435847
0,1,1,0,1,0.0797924265101
0,1,1,0,12,0.0423129310444
0,1,1,0,23,0.0840051721484
0,1,1,0,24,0.0785577889891
0,1,1,0,25,0.0794558686
0,1,1,1,26,0.155541563606
0,1,1,1,27,0.15397382834
0,1,1,1,28,0.15980206339
0,1,1,1,29,0.159950658387
0,1,1,1,2,0.163684524719
0,1,1,1,3,0.160918289625
0,1,1,4,17,0.061758281627
0,1,1,4,18,0.0640275007313
0,1,1,4,19,0.0802290344085
0,1,1,4,20,0.0809839950335
0,1,1,4,21,0.0651005044367
0,1,1,4,22,0.0809710345481
0,1,2,2,4,0.0
0,1,2,2,5,0.0
0,1,2,2,6,0.0
0,1,2,2,8,0.0
0,1,2,2,9,0.0
0,1,2,3,11,0.0
0,1,2,3,13,0.0
0,1,2,3,14,0.0
0,1,2,3,16,0.0
0,1,2,2,7,0.0
0,1,2,3,10,0.00408915304688
0,1,2,3,15,0.000863436130767
0,1,2,0,0,0.0978266169273
0,1,2,0,1,0.0977952520531
0,1,2,0,12,0.0994705040859
0,1,2,0,23,0.0981656145218
0,1,2,0,24,0.101798418805
0,1,2,0,25,0.101094207714
0,1,2,4,17,0.0966178824913
0,1,2,4,18,0.0801287340501
0,1,2,4,19,0.120083074796
0,1,2,4,20,0.119536016015
0,1,2,4,21,0.122170876201
0,1,2,4,22,0.119570934469
0,1,2,1,26,0.154803127616
0,1,2,1,27,0.16084708433
0,1,2,1,28,0.155107720073
0,1,2,1,29,0.158117165753
0,1,2,1,2,0.169182053419
0,1,2,1,3,0.162888234236
0,1,3,2,4,0.0
0,1,3,2,5,0.0
0,1,3,2,9,0.0
0,1,3,3,11,0.0
0,1,3,3,13,0.0
0,1,3,2,7,0.0
0,1,3,3,15,0.0
0,1,3,2,6,0.00125431458524
0,1,3,2,8,0.00286930292996
0,1,3,3,14,0.00160382924492
0,1,3,3,16,0.00152437041936
0,1,3,3,10,0.00239817413114
0,1,3,4,17,0.103177270548
0,1,3,4,18,0.0797816448411
0,1,3,4,19,0.101452064561
0,1,3,4,20,0.0782425541069
0,1,3,4,21,0.0994365777172
0,1,3,4,22,0.0999528152078
0,1,3,0,0,0.159790029687
0,1,3,0,1,0.158068432196
0,1,3,0,12,0.160326900748
0,1,3,0,23,0.158667953515
0,1,3,0,24,0.161325328777
0,1,3,0,25,0.16063343639
0,1,4,2,9,0.0
0,1,4,3,11,0.0
0,1,4,3,13,0.0
0,1,4,2,7,0.0
0,1,4,2,6,0.0
0,1,4,3,10,0.0
